"","GeneID","Chr","Start","End","Strand","Length"
"61","gene-YAL019W","NC_001133.9","114919","118314","+",3396
"62","gene-YAL020C","NC_001133.9","113614","114615","-",1002
"63","gene-YAL021C","NC_001133.9","110846","113359","-",2514
"64","gene-YAL022C","NC_001133.9","108877","110430","-",1554
"65","gene-YAL023C","NC_001133.9","106272","108551","-",2280
"66","gene-YAL024C","NC_001133.9","101565","105872","-",4308
"67","gene-YAL025C","NC_001133.9","100225","101145","-",921
"68","gene-YAL026C","NC_001133.9","95630","99697","-",4068
"69","gene-YAL027W","NC_001133.9","94687","95472","+",786
"70","gene-YAL028W","NC_001133.9","92900","94486","+",1587
"71","gene-YAL029C","NC_001133.9","87855","92270","-",4416
"72","gene-YAL030W","NC_001133.9;NC_001133.9","87286;87501","87387;87752","+;+",354
"73","gene-YAL031C","NC_001133.9","84749","87031","-",2283
"74","gene-YAL032C","NC_001133.9","83335","84474","-",1140
"75","gene-YAL033W","NC_001133.9","82706","83227","+",522
"76","gene-YAL034C","NC_001133.9","80710","81951","-",1242
"77","gene-YAL034W-A","NC_001133.9","79718","80587","+",870
"78","gene-YAL035W","NC_001133.9","76427","79435","+",3009
"79","gene-YAL036C","NC_001133.9","75043","76152","-",1110
"80","gene-YAL037C-A","NC_001133.9","73426","73518","-",93
"81","gene-YAL037W","NC_001133.9","74020","74823","+",804
"82","gene-YAL038W","NC_001133.9","71786","73288","+",1503
"83","gene-YAL039C","NC_001133.9","68716","69525","-",810
"84","gene-YAL040C","NC_001133.9","65778","67520","-",1743
"85","gene-YAL041W","NC_001133.9","62840","65404","+",2565
"86","gene-YAL042W","NC_001133.9","61316","62563","+",1248
"87","gene-YAL043C","NC_001133.9","58695","61052","-",2358
"88","gene-YAL044C","NC_001133.9","57950","58462","-",513
"89","gene-YAL044W-A","NC_001133.9","57518","57850","+",333
"90","gene-YAL046C","NC_001133.9","57029","57385","-",357
"91","gene-YAL047C","NC_001133.9","54989","56857","-",1869
"92","gene-YAL048C","NC_001133.9","52801","54789","-",1989
"93","gene-YAL049C","NC_001133.9","51855","52595","-",741
"94","gene-YAL051W","NC_001133.9","48564","51707","+",3144
"95","gene-YAL053W","NC_001133.9","45899","48250","+",2352
"96","gene-YAL054C","NC_001133.9","42881","45022","-",2142
"97","gene-YAL055W","NC_001133.9","42177","42719","+",543
"98","gene-YAL056W","NC_001133.9","39259","41901","+",2643
"99","gene-YAL058W","NC_001133.9","37464","38972","+",1509
"100","gene-YAL059W","NC_001133.9","36509","37147","+",639
"101","gene-YAL060W","NC_001133.9","35155","36303","+",1149
"102","gene-YAL061W","NC_001133.9","33448","34701","+",1254
"103","gene-YAL062W","NC_001133.9","31567","32940","+",1374
"104","gene-YAL063C","NC_001133.9","24000","27968","-",3969
"105","gene-YAL063C-A","NC_001133.9","22395","22685","-",291
"106","gene-YAL064C-A","NC_001133.9","13363","13743","-",381
"107","gene-YAL064W","NC_001133.9","21566","21850","+",285
"108","gene-YAL064W-B","NC_001133.9","12046","12426","+",381
"109","gene-YAL065C","NC_001133.9","11565","11951","-",387
"110","gene-YAL067C","NC_001133.9","7235","9016","-",1782
"111","gene-YAL067W-A","NC_001133.9","2480","2707","+",228
"112","gene-YAL068C","NC_001133.9","1807","2169","-",363
"113","gene-YAR002C-A","NC_001133.9","154065","154724","-",660
"114","gene-YAR002W","NC_001133.9","152257","153876","+",1620
"115","gene-YAR003W","NC_001133.9","155005","156285","+",1281
"116","gene-YAR007C","NC_001133.9","156754","158619","-",1866
"117","gene-YAR008W","NC_001133.9","158966","159793","+",828
"118","gene-YAR009C","NC_001133.9","160597","164187","-",3591
"119","gene-YAR010C","NC_001133.9","164544","165866","-",1323
"120","gene-YAR014C","NC_001133.9","166742","168871","-",2130
"121","gene-YAR015W","NC_001133.9","169375","170295","+",921
"122","gene-YAR018C","NC_001133.9","170396","171703","-",1308
"123","gene-YAR019C","NC_001133.9","172211","175135","-",2925
"124","gene-YAR020C","NC_001133.9","176856","177023","-",168
"125","gene-YAR023C","NC_001133.9","179281","179820","-",540
"126","gene-YAR027W","NC_001133.9","183770","184477","+",708
"127","gene-YAR028W","NC_001133.9","184892","185596","+",705
"128","gene-YAR029W","NC_001133.9","186321","186545","+",225
"129","gene-YAR031W","NC_001133.9","186836","187732","+",897
"130","gene-YAR033W","NC_001133.9","188107","188811","+",705
"131","gene-YAR035C-A","NC_001133.9","192337","192417","-",81
"132","gene-YAR035W","NC_001133.9","190193","192256","+",2064
"133","gene-YAR042W","NC_001133.9","192619","196185","+",3567
"134","gene-YAR050W","NC_001133.9","203403","208016","+",4614
"135","gene-YAR061W","NC_001133.9","218140","219145","+",1006
"136","gene-YAR064W","NC_001133.9","220198","220497","+",300
"137","gene-YAR066W","NC_001133.9","221049","221660","+",612
"138","gene-YAR068W","NC_001133.9","222406","222891","+",486
"139","gene-YAR071W","NC_001133.9","225460","226863","+",1404
"140","gene-YBL001C","NC_001134.8","237153","237467","-",315
"141","gene-YBL002W","NC_001134.8","236492","236887","+",396
"142","gene-YBL003C","NC_001134.8","235394","235792","-",399
"143","gene-YBL004W","NC_001134.8","227636","235117","+",7482
"144","gene-YBL005W","NC_001134.8","217470","220400","+",2931
"145","gene-YBL005W-A","NC_001134.8","221330","222652","+",1323
"146","gene-YBL005W-B","NC_001134.8","221330","226598","+",5269
"147","gene-YBL006C","NC_001134.8","216587","217129","-",543
"148","gene-YBL007C","NC_001134.8","212632","216366","-",3735
"149","gene-YBL008W","NC_001134.8","209653","212175","+",2523
"150","gene-YBL008W-A","NC_001134.8","209409","209648","+",240
"151","gene-YBL009W","NC_001134.8","207194","209224","+",2031
"152","gene-YBL010C","NC_001134.8","206107","206949","-",843
"153","gene-YBL011W","NC_001134.8","203538","205817","+",2280
"154","gene-YBL013W","NC_001134.8","202056","203261","+",1206
"155","gene-YBL014C","NC_001134.8","199064","201748","-",2685
"156","gene-YBL015W","NC_001134.8","194122","195702","+",1581
"157","gene-YBL016W","NC_001134.8","192451","193512","+",1062
"158","gene-YBL017C","NC_001134.8","186844","191583","-",4740
"159","gene-YBL018C","NC_001134.8;NC_001134.8","185998;186428","186352;186474","-;-",402
"160","gene-YBL019W","NC_001134.8","184353","185915","+",1563
"161","gene-YBL020W","NC_001134.8","182401","184125","+",1725
"162","gene-YBL021C","NC_001134.8","181660","182094","-",435
"163","gene-YBL022C","NC_001134.8","177874","181275","-",3402
"164","gene-YBL023C","NC_001134.8","174920","177526","-",2607
"165","gene-YBL024W","NC_001134.8","172534","174588","+",2055
"166","gene-YBL025W","NC_001134.8","171481","171918","+",438
"167","gene-YBL026W","NC_001134.8;NC_001134.8","170623;170805","170676;171038","+;+",288
"168","gene-YBL027W","NC_001134.8;NC_001134.8","168423;168809","168424;169376","+;+",570
"169","gene-YBL028C","NC_001134.8","167518","167838","-",321
"170","gene-YBL029C-A","NC_001134.8","164488","164772","-",285
"171","gene-YBL029W","NC_001134.8","166134","167264","+",1131
"172","gene-YBL030C","NC_001134.8","163041","163997","-",957
"173","gene-YBL031W","NC_001134.8","161699","162715","+",1017
"174","gene-YBL032W","NC_001134.8","160184","161329","+",1146
"175","gene-YBL033C","NC_001134.8","158656","159693","-",1038
"176","gene-YBL034C","NC_001134.8","153848","158389","-",4542
"177","gene-YBL035C","NC_001134.8","151493","153610","-",2118
"178","gene-YBL036C","NC_001134.8","150447","151220","-",774
"179","gene-YBL037W","NC_001134.8","147209","150286","+",3078
"180","gene-YBL038W","NC_001134.8","146187","146885","+",699
"181","gene-YBL039C","NC_001134.8","143989","145728","-",1740
"182","gene-YBL039W-B","NC_001134.8","143393","143572","+",180
"183","gene-YBL040C","NC_001134.8;NC_001134.8","142112;142847","142749;142868","-;-",660
"184","gene-YBL041W","NC_001134.8","141247","141972","+",726
"185","gene-YBL042C","NC_001134.8","138341","140260","-",1920
"186","gene-YBL043W","NC_001134.8","136688","137461","+",774
"187","gene-YBL044W","NC_001134.8","135998","136366","+",369
"188","gene-YBL045C","NC_001134.8","134143","135516","-",1374
"189","gene-YBL046W","NC_001134.8","132424","133749","+",1326
"190","gene-YBL047C","NC_001134.8","127895","132040","-",4146
"191","gene-YBL048W","NC_001134.8","127299","127610","+",312
"192","gene-YBL049W","NC_001134.8","126828","127244","+",417
"193","gene-YBL050W","NC_001134.8;NC_001134.8","125125;125271","125154;126119","+;+",879
"194","gene-YBL051C","NC_001134.8","122753","124759","-",2007
"195","gene-YBL052C","NC_001134.8","119379","121874","-",2496
"196","gene-YBL054W","NC_001134.8","117589","119166","+",1578
"197","gene-YBL055C","NC_001134.8","115573","116829","-",1257
"198","gene-YBL056W","NC_001134.8","113762","115168","+",1407
"199","gene-YBL057C","NC_001134.8","112801","113427","-",627
"200","gene-YBL058W","NC_001134.8","111437","112708","+",1272
"201","gene-YBL059C-A","NC_001134.8;NC_001134.8","110125;110506","110420;110539","-;-",330
"202","gene-YBL059W","NC_001134.8;NC_001134.8","110594;110949","110879;111244","+;+",582
"203","gene-YBL060W","NC_001134.8","107932","109995","+",2064
"204","gene-YBL061C","NC_001134.8","105316","107406","-",2091
"205","gene-YBL063W","NC_001134.8","101886","105221","+",3336
"206","gene-YBL064C","NC_001134.8","100371","101156","-",786
"207","gene-YBL066C","NC_001134.8","96669","100115","-",3447
"208","gene-YBL067C","NC_001134.8","93639","95882","-",2244
"209","gene-YBL068W","NC_001134.8","92414","93394","+",981
"210","gene-YBL069W","NC_001134.8","90741","92030","+",1290
"211","gene-YBL071C","NC_001134.8","90223","90531","-",309
"212","gene-YBL071C-B","NC_001134.8","89458","89556","-",99
"213","gene-YBL071W-A","NC_001134.8","89978","90226","+",249
"214","gene-YBL072C","NC_001134.8","88523","89125","-",603
"215","gene-YBL074C","NC_001134.8","86722","87789","-",1068
"216","gene-YBL075C","NC_001134.8","84499","86448","-",1950
"217","gene-YBL076C","NC_001134.8","81043","84261","-",3219
"218","gene-YBL078C","NC_001134.8","80378","80731","-",354
"219","gene-YBL079W","NC_001134.8","75259","79767","+",4509
"220","gene-YBL080C","NC_001134.8","73070","74695","-",1626
"221","gene-YBL081W","NC_001134.8","71866","72972","+",1107
"222","gene-YBL082C","NC_001134.8","69751","71127","-",1377
"223","gene-YBL084C","NC_001134.8","67169","69445","-",2277
"224","gene-YBL085W","NC_001134.8","63876","66818","+",2943
"225","gene-YBL086C","NC_001134.8","61202","62602","-",1401
"226","gene-YBL087C","NC_001134.8;NC_001134.8","59822;60698","60193;60739","-;-",414
"227","gene-YBL088C","NC_001134.8","51019","59382","-",8364
"228","gene-YBL089W","NC_001134.8","49574","50953","+",1380
"229","gene-YBL090W","NC_001134.8","48825","49358","+",534
"230","gene-YBL091C","NC_001134.8","47363","48628","-",1266
"231","gene-YBL091C-A","NC_001134.8;NC_001134.8","46565;47147","47058;47180","-;-",528
"232","gene-YBL092W","NC_001134.8","45978","46370","+",393
"233","gene-YBL093C","NC_001134.8","44256","44918","-",663
"234","gene-YBL095W","NC_001134.8","43277","44089","+",813
"235","gene-YBL097W","NC_001134.8","40831","43095","+",2265
"236","gene-YBL098W","NC_001134.8","39145","40527","+",1383
"237","gene-YBL099W","NC_001134.8","37053","38690","+",1638
"238","gene-YBL100W-A","NC_001134.8","29935","31251","+",1317
"239","gene-YBL100W-B","NC_001134.8","29935","35248","+",5314
"240","gene-YBL100W-C","NC_001134.8","28427","28546","+",120
"241","gene-YBL101C","NC_001134.8","24946","28299","-",3354
"242","gene-YBL102W","NC_001134.8","24098","24745","+",648
"243","gene-YBL103C","NC_001134.8","22076","23536","-",1461
"244","gene-YBL104C","NC_001134.8","18177","21293","-",3117
"245","gene-YBL105C","NC_001134.8","14241","17696","-",3456
"246","gene-YBL106C","NC_001134.8","10847","13879","-",3033
"247","gene-YBL107C","NC_001134.8","9961","10551","-",591
"248","gene-YBL108C-A","NC_001134.8","7605","7733","-",129
"249","gene-YBL111C","NC_001134.8;NC_001134.8","2907;4216","4116;5009","-;-",2004
"250","gene-YBL112C","NC_001134.8","2582","2899","-",318
"251","gene-YBL113C","NC_001134.8","280","2658","-",2379
"252","gene-YBR001C","NC_001134.8","238941","241283","-",2343
"253","gene-YBR002C","NC_001134.8","241708","242568","-",861
"254","gene-YBR003W","NC_001134.8","242809","244230","+",1422
"255","gene-YBR004C","NC_001134.8","244366","245667","-",1302
"256","gene-YBR005W","NC_001134.8","245906","246547","+",642
"257","gene-YBR006W","NC_001134.8","247010","248503","+",1494
"258","gene-YBR007C","NC_001134.8","248806","251016","-",2211
"259","gene-YBR008C","NC_001134.8","252563","254209","-",1647
"260","gene-YBR009C","NC_001134.8","255373","255684","-",312
"261","gene-YBR010W","NC_001134.8","256331","256741","+",411
"262","gene-YBR011C","NC_001134.8","257112","257975","-",864
"263","gene-YBR012W-A","NC_001134.8","259869","261191","+",1323
"264","gene-YBR012W-B","NC_001134.8","259869","265140","+",5272
"265","gene-YBR013C","NC_001134.8","265492","265881","-",390
"266","gene-YBR014C","NC_001134.8","266725","267336","-",612
"267","gene-YBR015C","NC_001134.8","267710","269503","-",1794
"268","gene-YBR016W","NC_001134.8","270247","270633","+",387
"269","gene-YBR017C","NC_001134.8","270947","273703","-",2757
"270","gene-YBR018C","NC_001134.8","274427","275527","-",1101
"271","gene-YBR019C","NC_001134.8","276253","278352","-",2100
"272","gene-YBR020W","NC_001134.8","279021","280607","+",1587
"273","gene-YBR021W","NC_001134.8","281443","283344","+",1902
"274","gene-YBR022W","NC_001134.8","283738","284271","+",534
"275","gene-YBR023C","NC_001134.8","284428","287925","-",3498
"276","gene-YBR024W","NC_001134.8","289445","290350","+",906
"277","gene-YBR025C","NC_001134.8","290681","291865","-",1185
"278","gene-YBR026C","NC_001134.8","292877","294019","-",1143
"279","gene-YBR027C","NC_001134.8","294024","294356","-",333
"280","gene-YBR028C","NC_001134.8","294425","296002","-",1578
"281","gene-YBR029C","NC_001134.8","296369","297742","-",1374
"282","gene-YBR030W","NC_001134.8","298292","299950","+",1659
"283","gene-YBR031W","NC_001134.8","300166","301254","+",1089
"284","gene-YBR032W","NC_001134.8","301519","301821","+",303
"285","gene-YBR033W","NC_001134.8","301944","304703","+",2760
"286","gene-YBR034C","NC_001134.8","304930","305976","-",1047
"287","gene-YBR035C","NC_001134.8","306269","306955","-",687
"288","gene-YBR036C","NC_001134.8","309081","310313","-",1233
"289","gene-YBR037C","NC_001134.8","310565","311452","-",888
"290","gene-YBR038W","NC_001134.8","311898","314789","+",2892
"291","gene-YBR039W","NC_001134.8","315575","316510","+",936
"292","gene-YBR040W","NC_001134.8","316968","317864","+",897
"293","gene-YBR041W","NC_001134.8","318266","320275","+",2010
"294","gene-YBR042C","NC_001134.8","320416","321609","-",1194
"295","gene-YBR043C","NC_001134.8","321876","323945","-",2070
"296","gene-YBR044C","NC_001134.8","324341","326059","-",1719
"297","gene-YBR045C","NC_001134.8","328173","330092","-",1920
"298","gene-YBR046C","NC_001134.8","330507","331511","-",1005
"299","gene-YBR047W","NC_001134.8","331833","332360","+",528
"300","gene-YBR048W","NC_001134.8;NC_001134.8","332831;333387","332875;333812","+;+",471
"301","gene-YBR049C","NC_001134.8","334386","336818","-",2433
"302","gene-YBR050C","NC_001134.8","337183","338199","-",1017
"303","gene-YBR052C","NC_001134.8","338720","339352","-",633
"304","gene-YBR053C","NC_001134.8","339675","340751","-",1077
"305","gene-YBR054W","NC_001134.8","343101","344135","+",1035
"306","gene-YBR055C","NC_001134.8","344602","347301","-",2700
"307","gene-YBR056W","NC_001134.8","347879","349384","+",1506
"308","gene-YBR056W-A","NC_001134.8","351255","351455","+",201
"309","gene-YBR057C","NC_001134.8","352193","353293","-",1101
"310","gene-YBR058C","NC_001134.8","353672","356017","-",2346
"311","gene-YBR058C-A","NC_001134.8","356324","356566","-",243
"312","gene-YBR059C","NC_001134.8","356861","360187","-",3327
"313","gene-YBR060C","NC_001134.8","360652","362514","-",1863
"314","gene-YBR061C","NC_001134.8","364787","365719","-",933
"315","gene-YBR062C","NC_001134.8;NC_001134.8","365976;366585","366502;366600","-;-",543
"316","gene-YBR063C","NC_001134.8","366970","368184","-",1215
"317","gene-YBR065C","NC_001134.8","368584","369678","-",1095
"318","gene-YBR066C","NC_001134.8","370037","370699","-",663
"319","gene-YBR067C","NC_001134.8","372103","372735","-",633
"320","gene-YBR068C","NC_001134.8","373861","375690","-",1830
"321","gene-YBR069C","NC_001134.8","376574","378433","-",1860
"322","gene-YBR070C","NC_001134.8","379221","379934","-",714
"323","gene-YBR071W","NC_001134.8","380411","381046","+",636
"324","gene-YBR072C-A","NC_001134.8","382860","383021","-",162
"325","gene-YBR072W","NC_001134.8","382030","382674","+",645
"326","gene-YBR073W","NC_001134.8","383112","385988","+",2877
"327","gene-YBR074W","NC_001134.8","386286","389216","+",2931
"328","gene-YBR076W","NC_001134.8","390227","391291","+",1065
"329","gene-YBR077C","NC_001134.8","391805","392293","-",489
"330","gene-YBR078W","NC_001134.8;NC_001134.8","393123;393511","393180;394742","+;+",1290
"331","gene-YBR079C","NC_001134.8","395383","398277","-",2895
"332","gene-YBR080C","NC_001134.8","398614","400890","-",2277
"333","gene-YBR081C","NC_001134.8","401253","405251","-",3999
"334","gene-YBR082C","NC_001134.8;NC_001134.8","406628;407123","407027;407169","-;-",447
"335","gene-YBR083W","NC_001134.8","409169","410629","+",1461
"336","gene-YBR084C-A","NC_001134.8;NC_001134.8","414186;415260","414753;415261","-;-",570
"337","gene-YBR084W","NC_001134.8","411054","413981","+",2928
"338","gene-YBR085C-A","NC_001134.8","418907","419164","-",258
"339","gene-YBR085W","NC_001134.8","415983","416906","+",924
"340","gene-YBR086C","NC_001134.8","420201","423041","-",2841
"341","gene-YBR087W","NC_001134.8","423765","424829","+",1065
"342","gene-YBR088C","NC_001134.8","424990","425766","-",777
"343","gene-YBR089C-A","NC_001134.8","426190","426489","-",300
"344","gene-YBR090C","NC_001134.8;NC_001134.8","426333;426874","426516;427058","-;-",369
"345","gene-YBR091C","NC_001134.8","427155","427484","-",330
"346","gene-YBR092C","NC_001134.8","427698","429101","-",1404
"347","gene-YBR093C","NC_001134.8","429548","430951","-",1404
"348","gene-YBR094W","NC_001134.8","432036","434297","+",2262
"349","gene-YBR095C","NC_001134.8","434406","435698","-",1293
"350","gene-YBR096W","NC_001134.8","436021","436713","+",693
"351","gene-YBR097W","NC_001134.8","436951","441315","+",4365
"352","gene-YBR098W","NC_001134.8","441515","443590","+",2076
"353","gene-YBR101C","NC_001134.8","443821","444693","-",873
"354","gene-YBR102C","NC_001134.8","445062","447323","-",2262
"355","gene-YBR103W","NC_001134.8","447709","449316","+",1608
"356","gene-YBR104W","NC_001134.8","449667","450656","+",990
"357","gene-YBR105C","NC_001134.8","450881","451969","-",1089
"358","gene-YBR106W","NC_001134.8","452658","453224","+",567
"359","gene-YBR107C","NC_001134.8","453793","454530","-",738
"360","gene-YBR108W","NC_001134.8","454822","457665","+",2844
"361","gene-YBR109C","NC_001134.8","457919","458362","-",444
"362","gene-YBR110W","NC_001134.8","458872","460221","+",1350
"363","gene-YBR111C","NC_001134.8","461178","461873","-",696
"364","gene-YBR111W-A","NC_001134.8;NC_001134.8;NC_001134.8","462139;462290;462500","462209;462429;462579","+;+;+",291
"365","gene-YBR112C","NC_001134.8","462870","465770","-",2901
"366","gene-YBR114W","NC_001134.8","467248","469620","+",2373
"367","gene-YBR115C","NC_001134.8","469748","473926","-",4179
"368","gene-YBR117C","NC_001134.8","474392","476437","-",2046
"369","gene-YBR118W","NC_001134.8","477671","479047","+",1377
"370","gene-YBR119W","NC_001134.8;NC_001134.8","479338;479435","479345;480323","+;+",897
"371","gene-YBR120C","NC_001134.8","480435","480923","-",489
"372","gene-YBR121C","NC_001134.8","481364","483367","-",2004
"373","gene-YBR122C","NC_001134.8","483970","484503","-",534
"374","gene-YBR123C","NC_001134.8","484742","486691","-",1950
"375","gene-YBR125C","NC_001134.8","487199","488380","-",1182
"376","gene-YBR126C","NC_001134.8","488905","490392","-",1488
"377","gene-YBR126W-A","NC_001134.8","490850","491056","+",207
"378","gene-YBR127C","NC_001134.8","491269","492822","-",1554
"379","gene-YBR128C","NC_001134.8","493081","494115","-",1035
"380","gene-YBR129C","NC_001134.8","494353","495339","-",987
"381","gene-YBR130C","NC_001134.8","495592","496869","-",1278
"382","gene-YBR131W","NC_001134.8","497163","499277","+",2115
"383","gene-YBR132C","NC_001134.8","499652","501442","-",1791
"384","gene-YBR133C","NC_001134.8","501804","504287","-",2484
"385","gene-YBR135W","NC_001134.8","504854","505306","+",453
"386","gene-YBR136W","NC_001134.8","505668","512774","+",7107
"387","gene-YBR137W","NC_001134.8","513044","513583","+",540
"388","gene-YBR138C","NC_001134.8","513762","515336","-",1575
"389","gene-YBR139W","NC_001134.8","515664","517190","+",1527
"390","gene-YBR140C","NC_001134.8","517350","526628","-",9279
"391","gene-YBR141C","NC_001134.8","527025","528038","-",1014
"392","gene-YBR142W","NC_001134.8","528317","530638","+",2322
"393","gene-YBR143C","NC_001134.8","530869","532182","-",1314
"394","gene-YBR144C","NC_001134.8","533235","533549","-",315
"395","gene-YBR145W","NC_001134.8","533762","534817","+",1056
"396","gene-YBR146W","NC_001134.8","535260","536096","+",837
"397","gene-YBR147W","NC_001134.8","536575","537465","+",891
"398","gene-YBR148W","NC_001134.8","537876","539705","+",1830
"399","gene-YBR149W","NC_001134.8","539987","541021","+",1035
"400","gene-YBR150C","NC_001134.8","541209","544493","-",3285
"401","gene-YBR151W","NC_001134.8","545028","545978","+",951
"402","gene-YBR152W","NC_001134.8","546376","547251","+",876
"403","gene-YBR153W","NC_001134.8","547460","548194","+",735
"404","gene-YBR154C","NC_001134.8","548362","549009","-",648
"405","gene-YBR155W","NC_001134.8","549771","550928","+",1158
"406","gene-YBR156C","NC_001134.8","551104","553200","-",2097
"407","gene-YBR157C","NC_001134.8","553543","554310","-",768
"408","gene-YBR158W","NC_001134.8","556549","558198","+",1650
"409","gene-YBR159W","NC_001134.8","558685","559728","+",1044
"410","gene-YBR160W","NC_001134.8","560078","560974","+",897
"411","gene-YBR161W","NC_001134.8","561634","562764","+",1131
"412","gene-YBR162C","NC_001134.8","563203","564570","-",1368
"413","gene-YBR162W-A","NC_001134.8","565231","565428","+",198
"414","gene-YBR163W","NC_001134.8","565723","567480","+",1758
"415","gene-YBR164C","NC_001134.8","567875","568426","-",552
"416","gene-YBR165W","NC_001134.8","568852","569685","+",834
"417","gene-YBR166C","NC_001134.8","569842","571200","-",1359
"418","gene-YBR167C","NC_001134.8","571468","571890","-",423
"419","gene-YBR168W","NC_001134.8","572371","573612","+",1242
"420","gene-YBR169C","NC_001134.8","573915","575996","-",2082
"421","gene-YBR170C","NC_001134.8","576344","578086","-",1743
"422","gene-YBR171W","NC_001134.8","578364","578984","+",621
"423","gene-YBR172C","NC_001134.8","579150","581372","-",2223
"424","gene-YBR173C","NC_001134.8","581726","582172","-",447
"425","gene-YBR175W","NC_001134.8","582408","583355","+",948
"426","gene-YBR176W","NC_001134.8","583720","584658","+",939
"427","gene-YBR177C","NC_001134.8","584807","586162","-",1356
"428","gene-YBR179C","NC_001134.8","586547","589114","-",2568
"429","gene-YBR180W","NC_001134.8","589741","591459","+",1719
"430","gene-YBR181C","NC_001134.8;NC_001134.8","591712;592769","592416;592774","-;-",711
"431","gene-YBR182C","NC_001134.8","593506","594864","-",1359
"432","gene-YBR182C-A","NC_001134.8","595361","595555","-",195
"433","gene-YBR183W","NC_001134.8","596115","597065","+",951
"434","gene-YBR184W","NC_001134.8","597363","598934","+",1572
"435","gene-YBR185C","NC_001134.8","599123","599959","-",837
"436","gene-YBR186W","NC_001134.8;NC_001134.8","600553;602217","602103;602360","+;+",1695
"437","gene-YBR187W","NC_001134.8","602634","603476","+",843
"438","gene-YBR188C","NC_001134.8","603685","604107","-",423
"439","gene-YBR189W","NC_001134.8;NC_001134.8","604508;604928","604514;605508","+;+",588
"440","gene-YBR191W","NC_001134.8;NC_001134.8","606270;606669","606280;607140","+;+",483
